Subject,Condition,Score
1,1,5.92
2,1,6.97
3,0,5.39
4,1,6.69
5,0,4.92
6,1,6.75
7,1,5.30
8,0,6.37
9,0,6.34
10,0,4.51
11,0,5.66
12,0,6.70
13,1,5.32
14,1,5.41
15,1,6.12
16,0,6.16
17,0,5.44
18,0,5.92
19,0,5.99
20,0,5.75
21,1,6.76
22,1,4.13
23,1,6.19
24,1,4.11
25,1,7.36
26,0,6.04
27,1,7.01
28,1,4.27
29,0,6.52
30,0,3.95
31,0,4.74
32,0,4.98
33,1,6.94
34,0,5.43
35,0,4.43
36,1,4.99
37,0,5.31
38,1,4.25
39,0,6.48
40,1,6.64
41,0,6.47
42,1,5.11
43,1,6.45
44,0,6.95
45,0,6.59
46,1,5.97
47,0,5.71
48,1,4.84
49,0,5.01
50,1,5.54
51,0,5.92
52,0,6.44
53,0,7.60
54,0,5.44
55,0,6.00
56,0,5.37
57,0,5.68
58,1,5.23
59,1,4.18
60,0,5.99
61,0,5.85
62,0,6.03
63,0,6.24
64,1,6.30
65,1,4.48
66,0,5.82
67,0,5.08
68,0,5.60
69,0,6.02
70,0,7.24
71,1,5.48
72,0,5.66
73,0,5.72
74,1,6.60
75,0,6.24
76,1,5.06
77,1,5.79
78,0,7.04
79,1,4.30
80,1,6.48
81,1,4.57
82,0,4.76
83,1,5.57
84,1,5.73
85,1,6.08
86,0,6.53
87,0,6.61
88,1,6.61
89,1,6.39
90,1,5.14
91,0,5.77
92,0,6.44
93,0,5.40
94,0,7.27
95,0,6.29
96,0,4.05
97,1,6.03
98,1,7.15
99,1,5.19
100,1,6.02
101,1,4.81
102,1,5.93
103,0,4.77
104,0,4.20
105,0,6.34
106,0,5.85
107,1,4.70
108,1,5.18
109,0,5.82
110,1,6.59
111,1,6.63
112,0,6.11
113,1,7.50
114,1,5.05
115,0,6.55
116,1,6.97
117,1,4.13
118,1,6.51
119,0,4.22
120,0,5.58
121,1,6.06
122,1,7.31
123,0,5.97
124,1,4.69
125,1,7.40
126,0,7.07
127,1,5.28
128,1,4.82
