Subject,Condition,Score
1,0,4.32
2,1,6.55
3,0,4.91
4,0,8.51
5,0,5.34
6,1,7.74
7,0,6.25
8,0,6.05
9,1,6.03
10,0,5.84
11,1,7.13
12,0,7.56
13,0,7.61
14,1,7.42
15,1,5.81
16,1,5.6
17,1,5.09
18,0,5.47
19,0,5.5
20,1,5.62
21,0,5.15
22,1,7.77
23,0,5.89
24,1,6.81
25,0,6.08
26,1,5.97
27,1,4.73
28,1,5.99
29,1,6.77
30,0,4.9
31,0,5.04
32,0,5.04
33,0,6.78
34,1,5.59
35,0,6.74
36,1,5.88
37,1,5.94
38,1,6.95
39,1,8.14
40,0,4.82
41,1,7.95
42,0,6.67
43,1,5.7
44,0,4.46
45,0,5.96
46,1,5.85
47,1,5.47
48,0,6.22
49,1,6.78
50,0,5.25
51,1,7.06
52,1,5.78
53,0,4.52
54,0,6.21
